SMILES,TARGET
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1sc(C(=O)C([H])([H])[H])c([H])c1C(=O)OC([H])([H])[H],4.215586241
[H]Sc1c(-c2c([H])sc3c2C(=O)c2c-3sc([H])c2[H])sc([H])c1C(=O)OC([H])([H])[H],1.411416759
[H]C([H])=C([H])c1c(C(F)(F)F)c(-c2c([H])sc3c2C(=O)c2c-3sc([H])c2[H])c([H])n1[H],3.684862407
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1C(C(=O)C([H])([H])[H])=C1C(=O)C([H])([H])C1=O,3.902769454
[H]/N=N/C([H])=C(\[H])c1c([H])sc2c1C(=O)c1c-2sc(C(=O)C([H])([H])[H])c1[H],4.87980244
[H]c1sc2c(c1-c1c([H])sc3c([H])c([H])n([H])c13)C(=O)c1c-2sc(C(=O)C([H])([H])[H])c1[H],4.519310848
[H]c1sc(-c2c(C(=O)C([H])([H])[H])sc3c2C(=O)c2c-3sc([H])c2[H])c(OC([H])([H])[H])c1[H],4.394341584
[H]C1=C2C(=C([H])C1=O)C(C(F)(F)F)=C([H])C([H])=C2c1c([H])sc2c1C(=O)c1c-2sc([H])c1[H],6.706264454
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1oc([H])c2c([H])c(C(=O)C([H])([H])[H])c([H])c([H])c12,2.515147793
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1c(F)c(F)c([H])c2c([H])sc(C([H])([H])[H])c12,3.421032126
[H]c1sc([H])c(-c2c([H])c([H])c(F)c(-c3c([H])sc4c3C(=O)c3c-4sc(C(=O)OC([H])([H])[H])c3[H])c2[H])c1[H],1.890326882
[H]c1sc2c(c1[H])C(=O)c1c-2sc(C(=O)OC([H])([H])[H])c1-c1sc([H])c([H])c1C(F)(F)F,1.860126496
[H]c1nc2c([H])nc(-c3c([H])sc4c3C(=O)c3c-4sc([H])c3[H])c([H])c2c([H])c1C(=O)C([H])([H])[H],1.23149846
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1c(C(=O)C([H])([H])[H])c(-c2c([H])sc([H])c2[H])c([H])c([H])c1[N+](=O)[O-],3.479923739
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1c([N+](=O)[O-])sc2c(C(=O)OC([H])([H])[H])sc([H])c12,4.316086501
[H]C1=C(C(F)(F)F)C([H])([H])c2c([H])sc(-c3c([H])sc4c3C(=O)c3c-4sc([H])c3[H])c2C1([H])[H],4.377931213
[H]c1sc2c(c1[H])C(=O)c1c-2sc(C(F)(F)F)c1-c1c([H])c(-c2c([H])sc([H])c2[H])c([H])c([H])c1[N+](=O)[O-],4.447931709
[H]c1sc2c(c1[H])C(=O)c1c-2sc(C([H])([H])[H])c1-c1c([H])sc([H])c1C(F)(F)F,3.046426146
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1c(C([H])([H])[H])c([H])c2c([H])c([H])n([H])c2c1[H],1.684859097
[H]C1=C([H])C2=C([H])C(=O)C(C(=O)C([H])([H])[H])=C2C(c2c([H])sc3c2C(=O)c2c-3sc([H])c2[H])=C1[H],3.882836507
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1c([H])c([H])c2c(oc3c([H])c([H])c(C(F)(F)F)c([H])c32)c1[H],5.188075056
[H]c1sc2c(c1[H])C(=O)c1c-2sc([H])c1-c1sc(C(F)(F)F)c2c1C(=O)N([H])C2=O,6.568919657
[H]c1nc2nc([H])c(C([H])([H])[H])c([H])c2c([H])c1-c1c([H])sc2c1C(=O)c1c-2sc([H])c1[H],5.250114707
